Наименование;Остаток;КодТовара;Артикул;Производитель;Тип;Описание;Цена;ШтрихКод;Упаковка;СрокГодности;Марка;ТоварнаяКатегория;Товар;РейтингПродаж;Категория;ABV;IBU;Plato;СтильПива;UntappdRef;EBC;id_объекта
MeadNight "Chardonnay MEAD" (Mead) алк.6% / МН Медок 1, пэт кег 20л;20;00-00020539;CHARDONNAY MEAD (пэт кег 20л);MeadNight;Товар;;380;4627130346271;пэт кег 20л;360;Chardonnay MEAD;Chardonnay Mead;MeadNight "Chardonnay MEAD" (Mead) алк.6% / МН Медок 1, пэт кег 20л;Новинка!;Алкогольная продукция>MeadNight>MeadNight кег;6;;;Mead;6349938;;23c5d25a-8996-11f0-9bb0-000c296fac54
Chibis "Hell Man: SALSA" (Tomato Gose), алк. 4,4%, / Хелл мэн: Сальса Гозе, ж/б 0,45л;48;00-00020571;HELL MAN: SALSA (ж/б 0,45л);CHIBIS Brewery;Товар;;329;4640233772303;кор. 06х0,45л ж/б;365;Hell Man: SALSA;Hell Man: SALSA;Chibis "Hell Man: SALSA" (Tomato Gose), алк. 4,4%, / Хелл мэн: Сальса Гозе, ж/б 0,45л;;Алкогольная продукция>CHIBIS Brewery>CHIBIS Brewery стекло > жб;4,40;;11;Tomato Gose;3876151;;208c9d3e-8e20-11f0-9bb0-000c296fac54
Chibis "Hell Man: SALSA" (Tomato Gose), алк. 4,4%, / Хелл мэн: Сальса Гозе, ж/б 0,45л;48;00-00020571;HELL MAN: SALSA (ж/б 0,45л);CHIBIS Brewery;Товар;;329;4640233772648;кор. 06х0,45л ж/б;365;Hell Man: SALSA;Hell Man: SALSA;Chibis "Hell Man: SALSA" (Tomato Gose), алк. 4,4%, / Хелл мэн: Сальса Гозе, ж/б 0,45л;;Алкогольная продукция>CHIBIS Brewery>CHIBIS Brewery стекло > жб;4,40;;11;Tomato Gose;3876151;;208c9d3e-8e20-11f0-9bb0-000c296fac54
Ostrovica "Juicy IPA" (New England IPA), алк 6,2%, / Островица джуси ипа, ж/б 0,45л;105;00-00018068;JUICY IPA (ж/б 0,45л);Ostrovica Brewery;Товар;;302;4640205261750;кор. 20х0,45л ж/б;360;Juicy IPA;Juicy IPA;Ostrovica "Juicy IPA" (New England IPA), алк 6,2%, / Островица джуси ипа, ж/б 0,45л;;Алкогольная продукция>Ostrovica (Аша)>Ostrovica ж>б;6,20;;;NE IPA;4837657;;dcaf1bf8-e39a-11ef-8221-000c29bc6f5e
Ostrovica "Juicy IPA" (New England IPA), алк 6,2%, / Островица джуси ипа, ж/б 0,45л;105;00-00018068;JUICY IPA (ж/б 0,45л);Ostrovica Brewery;Товар;;302;4640205264485;кор. 20х0,45л ж/б;360;Juicy IPA;Juicy IPA;Ostrovica "Juicy IPA" (New England IPA), алк 6,2%, / Островица джуси ипа, ж/б 0,45л;;Алкогольная продукция>Ostrovica (Аша)>Ostrovica ж>б;6,20;;;NE IPA;4837657;;dcaf1bf8-e39a-11ef-8221-000c29bc6f5e
Salden's "4C АИПА" (American IРА) алк, 7% / 4C Американ ИПА, жб. 0,45л;65;00-00018163;4C АИПА (жб. 0,45л);Salden's;Товар;IPA на хмелях Citra, Columbus, Chinook и Cascade,;285;4620085786055;кор. 20х0,45л ж/б;180;4C АИПА;4C АИПА;Salden's "4C АИПА" (American IРА) алк, 7% / 4C Американ ИПА, жб. 0,45л;;Алкогольная продукция>Saldens>Salden's ж>б;7;60;16,50;American IРА;1092950;;8453ade6-e950-11ef-8221-000c29bc6f5e
Big Village "OLD SONG" (DDH NEDIPA) алк. 8,5% / Хейзи Дабл Индиа Пейл Эль, ж/б 0,45л;36;00-00018243;OLD SONG (ж/б 0,45л);Big Village;Товар;;353;4620197365896;кор. 12х0,45л ж/б;240;OLD SONG;OLD SONG;Big Village "OLD SONG" (DDH NEDIPA) алк. 8,5% / Хейзи Дабл Индиа Пейл Эль, ж/б 0,45л;Новинка!;Алкогольная продукция>Big Village>Big Village ж>б;8,50;40;;Double New England IPA;6162371;;4907f6ff-f05b-11ef-8221-000c29bc6f5e
Big Village "OLD SONG" (DDH NEDIPA) алк. 8,5% / Хейзи Дабл Индиа Пейл Эль, ж/б 0,45л;36;00-00018243;OLD SONG (ж/б 0,45л);Big Village;Товар;;353;4620197365902;кор. 12х0,45л ж/б;240;OLD SONG;OLD SONG;Big Village "OLD SONG" (DDH NEDIPA) алк. 8,5% / Хейзи Дабл Индиа Пейл Эль, ж/б 0,45л;Новинка!;Алкогольная продукция>Big Village>Big Village ж>б;8,50;40;;Double New England IPA;6162371;;4907f6ff-f05b-11ef-8221-000c29bc6f5e
Stamm Brewing "Nevermont Magic Dust" (New England IPA) алк 7% /Невермонт Мэйджик Даст, ж/б 0,45 л;86;00-00018302;NEVERMONT MAGIC DUST (ж/б 0,45л);Stamm Brewing;Товар;;343;4610297650459;кор. 12х0,45л ж/б;365;Nevermont Magic Dust;Nevermont Magic Dust;Stamm Brewing "Nevermont Magic Dust" (New England IPA) алк 7% /Невермонт Мэйджик Даст, ж/б 0,45 л;;Алкогольная продукция>Stamm Brewing>Stamm Brewing ж>б, бут;7;50;;New England IPA;2345721;;02df0520-f4fa-11ef-8223-000c29bc6f5e
Stamm Brewing "Nevermont Magic Dust" (New England IPA) алк 7% /Невермонт Мэйджик Даст, ж/б 0,45 л;86;00-00018302;NEVERMONT MAGIC DUST (ж/б 0,45л);Stamm Brewing;Товар;;343;4610297651449;кор. 12х0,45л ж/б;365;Nevermont Magic Dust;Nevermont Magic Dust;Stamm Brewing "Nevermont Magic Dust" (New England IPA) алк 7% /Невермонт Мэйджик Даст, ж/б 0,45 л;;Алкогольная продукция>Stamm Brewing>Stamm Brewing ж>б, бут;7;50;;New England IPA;2345721;;02df0520-f4fa-11ef-8223-000c29bc6f5e
Plan B "Robot Unicorn Defense" (New England Hazy IPA) алк. 6,7% / Робот Юникорн, ж/б 0,45л;59;00-00022981;ROBOT UNICORN DEFENSE (ж/б  0,45л);Plan B;Товар;;327;4650139081881;кор. 12х0,45л ж/б;180;Robot Unicorn Defense;Robot Unicorn Defense;Plan B "Robot Unicorn Defense" (New England Hazy IPA) алк. 6,7% / Робот Юникорн, ж/б 0,45л;;Алкогольная продукция>Plan B Brewery>Plan B ж>б;6,70;40;;New England Hazy IPA;6773464;;3e245643-85bc-11f1-9bc3-000c296fac54
Zavod "Cherry Noir" (Non-Alcoholic - Porter) алк. 0.5% / Завод фри Темное 2, ж/б  0,45л;24;00-00022992;CHERRY NOIR (ж/б  0,45л);Zavod Brewery;Товар;;296;4607967292897;кор. 20х0,45л ж/б;360;Cherry Noir;Cherry Noir;Zavod "Cherry Noir" (Non-Alcoholic - Porter) алк. 0.5% / Завод фри Темное 2, ж/б  0,45л;;Алкогольная продукция>Zavod Brewery>Zavod Brewery Б>А;0,50;10;;Non-Alcoholic - Porter;6793421;;f1acf7be-8664-11f1-9bc3-000c296fac54
Red Rocket "ДЕФЕНЕСТРАЦИЯ" (SOUR DIPA) алк. 8% /РЕД РОКЕТ ДЖАНКШН, ж/б 0,45л;39;00-00023005;ДЕФЕНЕСТРАЦИЯ (ж/б 0,45л);Red Rocket;Товар;;351;4640229932667;кор. 20х0,45л ж/б;360;ДЕФЕНЕСТРАЦИЯ;ДЕФЕНЕСТРАЦИЯ;Red Rocket "ДЕФЕНЕСТРАЦИЯ" (SOUR DIPA) алк. 8% /РЕД РОКЕТ ДЖАНКШН, ж/б 0,45л;;Алкогольная продукция>Red Rocket Brewery>Red Rocket ж>б;8;40;;SOUR DIPA;6728069;;c49ffa09-8b3f-11f1-9bc3-000c296fac54
DIETA "Диета В Полночь" (IPA - New England) алк. 7.5% /Диета неипа 2, ж/б 0,45л;114;00-00023014;ДИЕТА В ПОЛНОЧЬ (ж/б 0,45л);DIETA;Товар;;406;4620402497060;кор. 20х0,45л ж/б;360;Диета В Полночь;Диета В Полночь;DIETA "Диета В Полночь" (IPA - New England) алк. 7.5% /Диета неипа 2, ж/б 0,45л;;Алкогольная продукция>DIETA>DIETA  ж>б;7,50;;;New England IPA;6752728;;f3107bbe-8b45-11f1-9bc3-000c296fac54
Plan B "Bathory" (American Amber Red Ale) алк. 5,7% / Батори , пэт кег 20л;60;00-00021147;BATHORY (пэт кег 20л);Plan B;Товар;;419;4650139081416;пэт кег 20л;180;Bathory;Bathory;Plan B "Bathory" (American Amber Red Ale) алк. 5,7% / Батори , пэт кег 20л;;Алкогольная продукция>Plan B Brewery>Plan B Brewery кег;5,70;50;;American Amber Red Ale;1055659;;5063db5a-c44a-11f0-9bb2-000c296fac54
Mister Bee "Plum" (Мистер Бии "Слива") (Mead) алк. 5% / Мистер БИ, бут 0,45л;21;00-00021214;MISTER BEE PLUM (СЛИВА) (бут 0,45л);Cider House;Товар;;0;;кор. 12х0,45л ст бут.;730;Mister Bee Plum;Mister Bee Plum;Mister Bee "Plum" (Мистер Бии "Слива") (Mead) алк. 5% / Мистер БИ, бут 0,45л;;Алкогольная продукция>Cider House>Mister Bee бут;5;;;Mead;6349222;;eba7ee80-c9ce-11f0-9bb2-000c296fac54
Rewort Brewery "Посадская коврижка" (Stout - Imperial) алк. 11% / ОТЛИЧНОЕ ИМПЕРСКОЕ 2, ж/б 0,45л;444;00-00021294;ПОСАДСКАЯ КОВРИЖКА (ж/б 0,45л);Rewort;Товар;;317;4630522440525;кор. 12х0,45л ж/б;365;Посадская коврижка;Посадская коврижка;Rewort Brewery "Посадская коврижка" (Stout - Imperial) алк. 11% / ОТЛИЧНОЕ ИМПЕРСКОЕ 2, ж/б 0,45л;;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort ж>б;11;25;26;Stout - Imperial / Double;6488308;80;b54f87b3-d031-11f0-9bb2-000c296fac54
Rewort Brewery "Посадская коврижка" (Stout - Imperial) алк. 11% / ОТЛИЧНОЕ ИМПЕРСКОЕ 2, ж/б 0,45л;444;00-00021294;ПОСАДСКАЯ КОВРИЖКА (ж/б 0,45л);Rewort;Товар;;317;4670161159372;кор. 12х0,45л ж/б;365;Посадская коврижка;Посадская коврижка;Rewort Brewery "Посадская коврижка" (Stout - Imperial) алк. 11% / ОТЛИЧНОЕ ИМПЕРСКОЕ 2, ж/б 0,45л;;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort ж>б;11;25;26;Stout - Imperial / Double;6488308;80;b54f87b3-d031-11f0-9bb2-000c296fac54
Ортодокс “Портер” (Porter) алк. 4,8% / ПОРТЕР 1, ж/б 0,45л;180;00-00021335;ПОРТЕР (ж/б 0,45л);ОРТОДОКС;Товар;;217;4670161154896;кор. 12х0,45л ж/б;365;Портер;Портер;Ортодокс “Портер” (Porter) алк. 4,8% / ПОРТЕР 1, ж/б 0,45л;;Алкогольная продукция>SVOI (Сергиев Посад)>Ортодокс ж>б;4,80;15;14;Porter;4023223;;bc7ad586-d503-11f0-9bb3-000c296fac54
Ортодокс “Портер” (Porter) алк. 4,8% / ПОРТЕР 1, ж/б 0,45л;180;00-00021335;ПОРТЕР (ж/б 0,45л);ОРТОДОКС;Товар;;217;4670161155756;кор. 12х0,45л ж/б;365;Портер;Портер;Ортодокс “Портер” (Porter) алк. 4,8% / ПОРТЕР 1, ж/б 0,45л;;Алкогольная продукция>SVOI (Сергиев Посад)>Ортодокс ж>б;4,80;15;14;Porter;4023223;;bc7ad586-d503-11f0-9bb3-000c296fac54
4 Brewers "Венское эталон верховного брожения" (Vienna Lager) алк. 4,5% / Лагер 7, ж/б 0,45л;80;00-00018760;ВЕНСКОЕ ЭТАЛОН ВЕРХОВНОГО БРОЖЕНИЯ (ж/б 0,45л);4 Brewers;Товар;;269;4680820154143;кор. 12х0,45л ж/б;365;Венское эталон верховного брожения;Венское эталон верховного брожения;4 Brewers "Венское эталон верховного брожения" (Vienna Lager) алк. 4,5% / Лагер 7, ж/б 0,45л;;Алкогольная продукция>4 Brewers>4 Brewers ж>б;4,50;;;Vienna Lager;6071618;;0c16ffe2-1510-11f0-9ba8-000c296fac54
4 Brewers "Венское эталон верховного брожения" (Vienna Lager) алк. 4,5% / Лагер 7, ж/б 0,45л;80;00-00018760;ВЕНСКОЕ ЭТАЛОН ВЕРХОВНОГО БРОЖЕНИЯ (ж/б 0,45л);4 Brewers;Товар;;269;4680820154181;кор. 12х0,45л ж/б;365;Венское эталон верховного брожения;Венское эталон верховного брожения;4 Brewers "Венское эталон верховного брожения" (Vienna Lager) алк. 4,5% / Лагер 7, ж/б 0,45л;;Алкогольная продукция>4 Brewers>4 Brewers ж>б;4,50;;;Vienna Lager;6071618;;0c16ffe2-1510-11f0-9ba8-000c296fac54
Red Button "Kuts (Sea Salt Batch)" (Sour Gose), алк.5% / Кутс морской, ж/б 0,45л;25;00-00018864;KUTS (SEA SALT BATCH) (ж/б 0,45л);Red Button;Товар;;322;4670190942143;кор. 20х0,45л ж/б;360;Kuts (Sea Salt Batch);Kuts (Sea Salt Batch);Red Button "Kuts (Sea Salt Batch)" (Sour Gose), алк.5% / Кутс морской, ж/б 0,45л;;Алкогольная продукция>Red Button>Red Button ж>б > стекло;5;;;Sour Gose;5495720;;fcbd02d6-1a00-11f0-9ba9-000c296fac54
Stamm Brewing "Red River" (American Pale Ale) алк 5,5% /Ред Ривер , ж/б 0,45л;13;00-00018958;RED RIVER (ж/б 0,45л);Stamm Brewing;Товар;;275;4610297650473;кор. 12х0,45л ж/б;365;Red River;Red River;Stamm Brewing "Red River" (American Pale Ale) алк 5,5% /Ред Ривер , ж/б 0,45л;;Алкогольная продукция>Stamm Brewing>Stamm Brewing ж>б, бут;5,50;60;;American Pale Ale;836931;;deabee7d-2024-11f0-9baa-000c296fac54
Stamm Brewing "Red River" (American Pale Ale) алк 5,5% /Ред Ривер , ж/б 0,45л;13;00-00018958;RED RIVER (ж/б 0,45л);Stamm Brewing;Товар;;275;4610297651500;кор. 12х0,45л ж/б;365;Red River;Red River;Stamm Brewing "Red River" (American Pale Ale) алк 5,5% /Ред Ривер , ж/б 0,45л;;Алкогольная продукция>Stamm Brewing>Stamm Brewing ж>б, бут;5,50;60;;American Pale Ale;836931;;deabee7d-2024-11f0-9baa-000c296fac54
Ортодокс “Жигулёвское” (Lager) алк. 3,8% / ЖИГУЛЁВСКОЕ , ж/б 0,45л;376;00-00019129;ЖИГУЛЁВСКОЕ (ж/б 0,45л);ОРТОДОКС;Товар;;206;4670161154155;кор. 12х0,45л ж/б;365;Жигулёвское;Жигулёвское;Ортодокс “Жигулёвское” (Lager) алк. 3,8% / ЖИГУЛЁВСКОЕ , ж/б 0,45л;;Алкогольная продукция>SVOI (Сергиев Посад)>Ортодокс ж>б;3,80;25;11;Lager;4292360;;35d5e514-2f13-11f0-9bac-000c296fac54
Ортодокс “Жигулёвское” (Lager) алк. 3,8% / ЖИГУЛЁВСКОЕ , ж/б 0,45л;376;00-00019129;ЖИГУЛЁВСКОЕ (ж/б 0,45л);ОРТОДОКС;Товар;;206;4670161155572;кор. 12х0,45л ж/б;365;Жигулёвское;Жигулёвское;Ортодокс “Жигулёвское” (Lager) алк. 3,8% / ЖИГУЛЁВСКОЕ , ж/б 0,45л;;Алкогольная продукция>SVOI (Сергиев Посад)>Ортодокс ж>б;3,80;25;11;Lager;4292360;;35d5e514-2f13-11f0-9bac-000c296fac54
Brewmen "Харизма Black Currant" (Berliner) алк. 4,5% / Харизма черная смородина, ж/б 0,45л;5;00-00020673;ХАРИЗМА BLACK CURRAN (ж/б 0,45л);Brewmen;Товар;;315;4620402491099;кор. 20х0,45л ж/б;366;Харизма Black Currant;Харизма Black Currant;Brewmen "Харизма Black Currant" (Berliner) алк. 4,5% / Харизма черная смородина, ж/б 0,45л;;Алкогольная продукция>Brewmen>Brewmen ж>б, бут;4,50;5;;Fruited Berliner Weisse;4225742;;91c731bc-9935-11f0-9bb0-000c296fac54
Chibis "Вишня под кокосом" (Smoothie), алк. 6,5% / Вишня под кокосом, ж/б 0,45л;48;00-00020730;ВИШНЯ ПОД КОКОСОМ (ж/б 0,45л);CHIBIS Brewery;Товар;;356;4640233772877;кор. 06х0,45л ж/б;365;Вишня под кокосом;Вишня под кокосом;Chibis "Вишня под кокосом" (Smoothie), алк. 6,5% / Вишня под кокосом, ж/б 0,45л;;Алкогольная продукция>CHIBIS Brewery>CHIBIS Brewery стекло > жб;6,50;;;Smoothie;6401236;;b1e8d32f-9dd4-11f0-9bb0-000c296fac54
Chibis "Вишня под кокосом" (Smoothie), алк. 6,5% / Вишня под кокосом, ж/б 0,45л;48;00-00020730;ВИШНЯ ПОД КОКОСОМ (ж/б 0,45л);CHIBIS Brewery;Товар;;356;4640233772990;кор. 06х0,45л ж/б;365;Вишня под кокосом;Вишня под кокосом;Chibis "Вишня под кокосом" (Smoothie), алк. 6,5% / Вишня под кокосом, ж/б 0,45л;;Алкогольная продукция>CHIBIS Brewery>CHIBIS Brewery стекло > жб;6,50;;;Smoothie;6401236;;b1e8d32f-9dd4-11f0-9bb0-000c296fac54
Rewort Brewery "Grape Babe" (NE DIPA) алк. 6,9% / ГРЕЙП БЕЙБ, ж/б 0,45л;4;00-00020834;GRAPE BABE (ж/б 0,45л);Rewort;Товар;Сочный, мутный и плотный NE DIPA с добавлением сока винограда;285;4670161154254;кор. 12х0,45л ж/б;365;Grape Babe;Grape Babe;Rewort Brewery "Grape Babe" (NE DIPA) алк. 6,9% / ГРЕЙП БЕЙБ, ж/б 0,45л;;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort ж>б;6,90;34;19;NEDIPA;3562945;10;0dd66b3c-a99b-11f0-9bb1-000c296fac54
Rewort Brewery "Grape Babe" (NE DIPA) алк. 6,9% / ГРЕЙП БЕЙБ, ж/б 0,45л;4;00-00020834;GRAPE BABE (ж/б 0,45л);Rewort;Товар;Сочный, мутный и плотный NE DIPA с добавлением сока винограда;285;4670161155138;кор. 12х0,45л ж/б;365;Grape Babe;Grape Babe;Rewort Brewery "Grape Babe" (NE DIPA) алк. 6,9% / ГРЕЙП БЕЙБ, ж/б 0,45л;;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort ж>б;6,90;34;19;NEDIPA;3562945;10;0dd66b3c-a99b-11f0-9bb1-000c296fac54
Plan B "Отличный План" (American IPA) алк. 7,3% / Отличный План,  ж/б 0,45л;77;00-00018373;ОТЛИЧНЫЙ ПЛАН (ж/б  0,45л);Plan B;Товар;Впервые сварено специально к фестивалю BIG CRAFT DAY 2015.;306;4650139080969;кор. 12х0,45л ж/б;180;Отличный План;Отличный План;Plan B "Отличный План" (American IPA) алк. 7,3% / Отличный План,  ж/б 0,45л;;Алкогольная продукция>Plan B Brewery>Plan B ж>б;7,30;70;17;American IРА;1101931;;6b1278bf-fa64-11ef-8224-000c29bc6f5e
4 Brewers "Острая зависимость" (Gose) алк. 6,9% / Острая зависимость, ж/б 0,45л;49;00-00018392;ОСТРАЯ ЗАВИСИМОСТЬ (ж/б 0,45л);4 Brewers;Товар;;317;4680583606729;кор. 12х0,45л ж/б;365;Острая зависимость;Острая зависимость;4 Brewers "Острая зависимость" (Gose) алк. 6,9% / Острая зависимость, ж/б 0,45л;;Алкогольная продукция>4 Brewers>4 Brewers ж>б;6,90;;;Gose;3009896;;d6d9805f-fb1c-11ef-8224-000c29bc6f5e
4 Brewers "Острая зависимость" (Gose) алк. 6,9% / Острая зависимость, ж/б 0,45л;49;00-00018392;ОСТРАЯ ЗАВИСИМОСТЬ (ж/б 0,45л);4 Brewers;Товар;;317;4680583608389;кор. 12х0,45л ж/б;365;Острая зависимость;Острая зависимость;4 Brewers "Острая зависимость" (Gose) алк. 6,9% / Острая зависимость, ж/б 0,45л;;Алкогольная продукция>4 Brewers>4 Brewers ж>б;6,90;;;Gose;3009896;;d6d9805f-fb1c-11ef-8224-000c29bc6f5e
4 Brewers "Острая зависимость" (Gose) алк. 6,9% / Острая зависимость, ж/б 0,45л;49;00-00018392;ОСТРАЯ ЗАВИСИМОСТЬ (ж/б 0,45л);4 Brewers;Товар;;317;4680820153559;кор. 12х0,45л ж/б;365;Острая зависимость;Острая зависимость;4 Brewers "Острая зависимость" (Gose) алк. 6,9% / Острая зависимость, ж/б 0,45л;;Алкогольная продукция>4 Brewers>4 Brewers ж>б;6,90;;;Gose;3009896;;d6d9805f-fb1c-11ef-8224-000c29bc6f5e
4 Brewers "Острая зависимость" (Gose) алк. 6,9% / Острая зависимость, ж/б 0,45л;49;00-00018392;ОСТРАЯ ЗАВИСИМОСТЬ (ж/б 0,45л);4 Brewers;Товар;;317;4680820153603;кор. 12х0,45л ж/б;365;Острая зависимость;Острая зависимость;4 Brewers "Острая зависимость" (Gose) алк. 6,9% / Острая зависимость, ж/б 0,45л;;Алкогольная продукция>4 Brewers>4 Brewers ж>б;6,90;;;Gose;3009896;;d6d9805f-fb1c-11ef-8224-000c29bc6f5e
Ostrovica "B-Day Lager" (Lager), алк. 4,9% / Островица Лагер, ж/б 0,45л;58;00-00018435;B-DAY LAGER (ж/б 0,45л);Ostrovica Brewery;Товар;;267;4640205261835;кор. 20х0,45л ж/б;360;B-Day Lager;B-Day Lager;Ostrovica "B-Day Lager" (Lager), алк. 4,9% / Островица Лагер, ж/б 0,45л;;Алкогольная продукция>Ostrovica (Аша)>Ostrovica ж>б;4,90;25;12,50;Lager;1591905;;54fcfac9-fb59-11ef-8224-000c29bc6f5e
Ostrovica "B-Day Lager" (Lager), алк. 4,9% / Островица Лагер, ж/б 0,45л;58;00-00018435;B-DAY LAGER (ж/б 0,45л);Ostrovica Brewery;Товар;;267;4640205264492;кор. 20х0,45л ж/б;360;B-Day Lager;B-Day Lager;Ostrovica "B-Day Lager" (Lager), алк. 4,9% / Островица Лагер, ж/б 0,45л;;Алкогольная продукция>Ostrovica (Аша)>Ostrovica ж>б;4,90;25;12,50;Lager;1591905;;54fcfac9-fb59-11ef-8224-000c29bc6f5e
Rewort Brewery “Fasten Seat Belt” (Quadro IPA) алк. 14% / ФАСТЕН СИТ БЕЛТ, пэт кег 20л/шт;6;00-00018495;FASTEN SEAT BELT (пэт кег 20л/шт);Rewort;Товар;;0;4670161157453;пэт кег 20л/шт;365;Fasten Seat Belt;Fasten Seat Belt;Rewort Brewery “Fasten Seat Belt” (Quadro IPA) алк. 14% / ФАСТЕН СИТ БЕЛТ, пэт кег 20л/шт;;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort кег пэт;14;100;25;Quadro IPA;5789767;15;c6002491-032f-11f0-8227-000c29bc6f5e
Magic Mess "ШОП" (American IPA) алк.6.5% /Мэджик Месс Вэст Кост ИПА 12, ж/б 0,45л.;49;00-00022248;ШОП (ж/б 0,45л);Magic Mess;Товар;;327;4660508892376;кор. 12х0,45л ж/б;365;ШОП;ШОП;Magic Mess "ШОП" (American IPA) алк.6.5% /Мэджик Месс Вэст Кост ИПА 12, ж/б 0,45л.;;Алкогольная продукция>Magic Mess>Magic Mess ж>б;6,50;55;;American IPA;6568845;;716c73cd-487a-11f1-9bbc-000c296fac54
HopHead "Арахнофобия" (NE DIPA) алк. 8,0% / Хопхэд дабл неипа 2, ж/б 0,45л;34;00-00022279;АРАХНОФОБИЯ (ж/б 0,45л);HopHead;Товар;Мягкий и расслабляющий NE dipa.  Hops:Citra, El dorado, idaho.;382;4620402495516;кор. 20х0,45л ж/б;360;Арахнофобия;Арахнофобия;HopHead "Арахнофобия" (NE DIPA) алк. 8,0% / Хопхэд дабл неипа 2, ж/б 0,45л;;Алкогольная продукция>HopHead>HopHead ж>б;8;25;;New England IPA;3680052;;f3c332fd-4dfb-11f1-9bbe-000c296fac54
Леонид Леврана "Make Cider Great Again"(Cider)алк.5,5%/МЕЙК САЙДЕР ГРЕЙТ ЭГЕЙН биттерсвит,бут. 0,5л;18;00-00022314;MAKE CIDER GREAT AGAIN BITTERSWEET (бут. 0,5л);Сидродельня Леонида Леврана;Товар;;401;4603728537603;кор. 12х0,5л ст. бут.;720;Make Cider Great Again Bittersweet;Make Cider Great Again Bittersweet;Леонид Леврана "Make Cider Great Again"(Cider)алк.5,5%/МЕЙК САЙДЕР ГРЕЙТ ЭГЕЙН биттерсвит,бут. 0,5л;;Алкогольная продукция>Сидродельня Леонида Леврана>Леврана бут;5,50;;;Cider;6663505;;2b29d35a-4f6a-11f1-9bbe-000c296fac54
Stamm Brewing "Turbid Flow" (New England Hazy IPA) алк 7% / НЕИПА 3 / NEIPA 3, ж/б 0,45л;35;00-00022479;TURBID FLOW (ж/б 0,45л);Stamm Brewing;Товар;;359;4610297651616;кор. 12х0,45л ж/б;365;Turbid Flow;Turbid Flow;Stamm Brewing "Turbid Flow" (New England Hazy IPA) алк 7% / НЕИПА 3 / NEIPA 3, ж/б 0,45л;;Алкогольная продукция>Stamm Brewing>Stamm Brewing ж>б, бут;7;;;New England Hazy IPA;6720379;;09a5e469-5f38-11f1-9bbe-000c296fac54
Stamm Brewing "Turbid Flow" (New England Hazy IPA) алк 7% / НЕИПА 3 / NEIPA 3, ж/б 0,45л;35;00-00022479;TURBID FLOW (ж/б 0,45л);Stamm Brewing;Товар;;359;4610297653412;кор. 12х0,45л ж/б;365;Turbid Flow;Turbid Flow;Stamm Brewing "Turbid Flow" (New England Hazy IPA) алк 7% / НЕИПА 3 / NEIPA 3, ж/б 0,45л;;Алкогольная продукция>Stamm Brewing>Stamm Brewing ж>б, бут;7;;;New England Hazy IPA;6720379;;09a5e469-5f38-11f1-9bbe-000c296fac54
White Stone "В собственном соку (Осветлённое)" (Gose) алк. 6% / ВС Томатный Гозе 13, ж/б 0,45л;78;00-00022492;В СОБСТВЕННОМ СОКУ (ОСВЕТЛЁННОЕ) (ж/б 0,45л);White Stone;Товар;;322;4640229751459;кор. 12х0,45л ж/б;365;В собственном соку (Осветлённое);В собственном соку (Осветлённое);White Stone "В собственном соку (Осветлённое)" (Gose) алк. 6% / ВС Томатный Гозе 13, ж/б 0,45л;;Алкогольная продукция>White Stonе>White Stonе ж>б;6;7;;Gose;6186953;;55041f7f-60b8-11f1-9bbe-000c296fac54
White Stone "В собственном соку (Осветлённое)" (Gose) алк. 6% / ВС Томатный Гозе 13, ж/б 0,45л;78;00-00022492;В СОБСТВЕННОМ СОКУ (ОСВЕТЛЁННОЕ) (ж/б 0,45л);White Stone;Товар;;322;4640229753163;кор. 12х0,45л ж/б;365;В собственном соку (Осветлённое);В собственном соку (Осветлённое);White Stone "В собственном соку (Осветлённое)" (Gose) алк. 6% / ВС Томатный Гозе 13, ж/б 0,45л;;Алкогольная продукция>White Stonе>White Stonе ж>б;6;7;;Gose;6186953;;55041f7f-60b8-11f1-9bbe-000c296fac54
Red Button "NO SORREL, NO FUN" (Gose) алк. 5% /Соррель, ж/б 0,45л;45;00-00022529;NO SORREL, NO FUN (жб 0,45л);Red Button;Товар;;322;4670190945021;кор. 20х0,45л ж/б;360;NO SORREL, NO FUN;NO SORREL, NO FUN;Red Button "NO SORREL, NO FUN" (Gose) алк. 5% /Соррель, ж/б 0,45л;;Алкогольная продукция>Red Button>Red Button ж>б > стекло;5;;;Gose;;;86c30f1b-63d6-11f1-9bbe-000c296fac54
Rewort Brewery "Навстречу ветру" (Session IPA) алк. 3.5% / НАВСТРЕЧУ ВЕТРУ, пэт кег 20л/шт;4;00-00022554;НАВСТРЕЧУ ВЕТРУ (пэт кег 20л/шт);Rewort;Товар;;0;4630522442529;пэт кег 20л/шт;365;Навстречу ветру;Навстречу ветру;Rewort Brewery "Навстречу ветру" (Session IPA) алк. 3.5% / НАВСТРЕЧУ ВЕТРУ, пэт кег 20л/шт;Новинка!;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort кег пэт;3,50;8,70;40;Session IPA;6727425;17;5c81331e-6410-11f1-9bbe-000c296fac54
